name,review_text,review_rating
Publish Gunawarman,"Saya berkunjung bersama 1 teman saya di jam 13.00 pd tgl 11/01/2026. Kami order food & beverage masing2 per person.

Sblmnya waitress memang sudah menginfokan terkait max duration table 2 jam, namun posisinya saat itu saya sedang on going meeting online dan blm selesai dalam 2 jam tsb.

Makanan & minuman kami jg belum selesai dimakan, namun waitress sdh menghampiri kami utk reminder table & close bill. Kami mengiyakan close bill tsb, namun kami jg jg memberitahu bahwa saya masih meeting & waitress bisa melihat sendiri kondisi di meja.

Waitress remind utk leave table krn katanya table sudah ditunggu oleh yg booking selanjutnya. Namun saat itu table di sekitar saya banyak yg kosong, waitress bahkan tidak menawarkan utk move ke table lain. Sayapun tdk melihat ada org yg menunggu di waiting area Publish.

Sgt mengecewakan utk restoran spt Publish yg mana harusnya service menjadi yg paling utama.

Saya sudah menyuarakan kekecewaan saya tsb via sosmed agar teman dan network saya tidak merasakan pengalaman yg sama. Ini jg pertama kali saya dipaksa keluar dr restoran, apalagi dgn posisi makanan blm habis & jelas2 saya sedang meeting.

Tolong agar server dapat diedukasi utk dapat melayani customer sesuai dengan kondisi yg ada, tidak terpaku pada rules.",1
Publish Gunawarman,"The food and ambience was nice, but the rules are so weird. They have a max of 2hr limit, but at the moment, the place was quiet, lot of empty tables. However they told us to left our table even though we haven’t finish our food and drinks, plus I still had a meeting going on.

I know rules are rules, but you could adjust on the situation I guess?? Very much disappointed. Never had i ever being kicked out of a restaurant, esp when I haven’t finish my meal. What an experience 😂",2
Publish Gunawarman,"great place for dinner with nice food, perfect ambience, and friendly staff. will definitely come back.",5
Publish Gunawarman,"kemarin kesini, host nya jutek banget, padahal suasana dan makanannya enak, pelayan ngambil piring di meja ga permisi langsung main ambil aja, host di depan yang jaga yang rambut pendek pake blezer juteknya minta ampun gaada senyum nya,

pas baca ulasan ternyata banyak yang merasakan di jutekin host & pelayannya...",3
Publish Gunawarman,Tempat yg nyaman utk nongki nongki tapi dompet harus tebal,4
Publish Gunawarman,"Mau kasih bintang sepuluh buat Publish, admin helpfull krn aku banyak req untuk kasih bday surprise buat pacar aku. Staff semua ramah dan friendly gabisa aku deskripsikan semua untuk pelayanan karna sempurna even di chatpun staff semua ok🥹 Tiramisunya bikin gamon, pasti akan balik lagi sihh⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",5
Publish Gunawarman,"The food was genuinely good and well-prepared, making the whole dining experience very enjoyable. The place itself is spacious and comfy, so it never feels cramped and is perfect for lingering a bit longer. What made it even more fun is the cute photo booth — such a nice touch to capture moments with friends!",5
Publish Gunawarman,"I love it!! Excellent for all food, service, worker!! Gonna come to visit Publish again♥️",5
Publish Gunawarman,"I have wonderful experience here, the foods are tasty, staffs are friendly, and the ambience is really cozy",5
Publish Gunawarman,Dilarang bawa tumbler,1
Publish Gunawarman,Vibesnya teduh dan makanannya enak semua,5
Publish Gunawarman,"A comfortable and spacious place with good food. Not too crowded, and the interior is very nice. Perfect for a chill dining experience.",5
Publish Gunawarman,pegawai tdk ramah. thx.,2
Publish Gunawarman,Good food and coffee at the newly opened place in Gunawarman. Do check it out! The pork belly was super yummy!,5
Publish Gunawarman,"Tempatnya sangat bagus, bersih, nyaman dan staffnya sangat ramah dan membantu, makanan dan minumannya enaaaak",5
Publish Gunawarman,"tempatnya sangat nyaman untuk dinner atau ngobrol sama sahabat, makannya dan semua menu nya enak, tempatnya aesthetic, disana kita bertiga habis 900k an kita pilih menu paket dinnerr🥰🫰🏻",5
Publish Gunawarman,"good food and chill vibe. went here for lunch and  loved the experience🤍

the brie honey toast was unexpectedly our favorite!",5
Publish Gunawarman,"food is perfect, lovin the supreme fried rice hehe, went there at 10pm, doesn’t take long for the food to come also love the ambience! the price is quite oke considering they located in gunawarman soo, will prob coming back",5
Publish Gunawarman,udahh sering kesinii!! tempat nya emg nyaman & pelayanan nya bnr bnr oke bgt,5
Publish Gunawarman,"Pelayanannya oke banget, semua staff ramah sekali, Pizza enak pol!!!!
Nice expirience, will coming back to publish!",5
Publish Gunawarman,"Ambience: dim lighting with intimate and elegant vibe, great for a dinner with the family or friends. They also have private rooms.

Food:
1. Roasted Salmon: the salmon was perfectly roasted. It is soft topped with crispy skin. Served with baby potato that was tasty and kinda crispy on the outside too. All dipped in sort of a white butter sauce flavoured with dill, which was creamy, a bit herbal, and fresh.

2. Molten Lava Cake: One of the best lava cake in town! Once I cut the cake open, the chocolate just perfectly melted out. It was not too sweet, and not bitter at all. The chocolate had a bit saltiness so it had a rich balance between the sweetness and saltiness. Instead of vanilla, they served it with hazelnut gelato and it was to die for. The taste of hazelnut really stood out and paired really well with the lava cake.

3. Brie Toast with Truffle Honey: it was good, but a little more cheese would be better. And to have the honey dip was not a good fit I guess. Dipping the toast to the honey made it become too sweet. Better to just drizzle it on top.

4. Calamari Ring: just the right level of crunchiness, not greasy.

5. Vanilla Panna Cotta: the perfect dessert for those who are not sweet tooth. The sweetness in the vanilla pannacotta was just enough and is well balanced with the freshness of strawberry and the sorbet",5
Publish Gunawarman,"Last night I celebrated my boyfriend’s birthday here. It was truly a delightful experience to have dinner here. The service was warm and friendly, the food was delicious, and the taste was five-star. Thank you to all the staff who helped celebrate my boyfriend’s birthday.🩷🩷🥰🥰",5
Publish Gunawarman,"The food is really delicious, id totally recommend it",5
Publish Gunawarman,Good food,5
Publish Gunawarman,"Recommendation of a very beautiful place to have lunch or dinner with your loved ones, a comfortable ambiance to chat casually with friends or partners, and a food menu that is very suitable for the price, as well as the service that satisfies customers, so I'm so excited to come back here thank you!!!✨",5
Publish Gunawarman,"so comfy ambiencenya, love",5
Publish Gunawarman,Good service mas ifan thank you bgt,5
Publish Gunawarman,"Makanannya semua enak, tempatnya cozy, cm untuk pelayanannya kurang cepat aja ya. Krn pas kami dtg cm ada 1 meja di non smoking area cm untuk keluar makanan aga slow , semoga kualitas makanan tidak menurun :)",4
Publish Gunawarman,Nice place to have a linch or dinner with fam,5
Publish Gunawarman,"Publish continues to impress with every visit, not just for its food, but for the overall experience it creates. One of the charms of the restaurant is its thoughtfully designed interior — modern, warm, and effortlessly inviting. Tucked inside is a charming photobooth corner, a small but delightful touch that adds character and makes the space feel even more memorable.

What consistently stands out, however, is how well the restaurant balances comfort and sophistication. The staff embody the same warmth as the space itself: attentive without being intrusive, genuinely friendly, and clearly proud of the dishes they serve. Their service elevates the experience from simply “eating out” to actually feeling taken care of.

The menu is another highlight. Each dish is prepared with precision, using fresh, high-quality ingredients that shine through in both flavor and presentation. Whether you’re choosing something rich and satisfying or opting for a lighter option, the execution is consistently strong — vibrant flavors, thoughtful combinations, and plating that feels effortlessly elegant.

Publish works equally well for casual lunches, longer dinners, and everything in between. It’s the kind of place you return to not just because the food is good, but because the experience is reliably fulfilling. After multiple visits, it’s clear that this isn’t just a neighborhood spot — it’s one of the area’s standout dining destinations.",5
Publish Gunawarman,"oooo the food was so good! it was quite pricey, but totally worth it.",5
Publish Gunawarman,"Honestly, I’ll never come back to this place again. I had a really bad experience with the security staff.

I was taking some photos and short TikTok videos in front of the restaurant because the spot was cute and aesthetic and before me there were also some people doing the same thing. I didn’t think it was a problem, especially since I paid to dine there, not just hanging around for free.

After finishing my photos, I was about to leave. Usually, the security guy always opens the door for customers who enter or exit, but when I was about to go out, he just stood there, didn’t even move or offer to help which honestly I didn’t mind, I can open the door myself.

But when I politely asked, “Mas, ini pintunya dibuka ke arah mana ya?” (because it was a pull door and he was standing right in front of it), he answered so rudely, just said “Gatau” with an unpleasant tone and expression.

I really don’t know what I did wrong. Did I disturb him just because I took some photos? If taking photos is such a big issue here, maybe put a big sign saying “NO PHOTOS ALLOWED” instead of treating customers like trash.

Such an awful, disrespectful experience. Totally ruined my mood. Never coming back here again.",1
Publish Gunawarman,"nice ambience ever, good food, good service oke bgt service nya, ada photobooth juga so cutee",5
Publish Gunawarman,"staffnya bener"" super helpfull, Hi! It was such a nice experience",5
Publish Gunawarman,"they have a nice, cozy and calm ambience, their smoking room were also good and recommended for WFC or just chilling w ur friends",5
Publish Gunawarman,"thank you @publishjakarta for the sweetest anniversary surprise! 💐 Especially for the lady with glasses that have 3 kids (I forgot to ask her name😅)
Everything from start to finish was top notch! The food, the setup, the service.
All the staff were super warm and even played with my baby the whole time 🫶🏻
Truly such a memorable experience, this is an honest review! 🤍",5
Publish Gunawarman,Cukup nyaman buat ngobrol,5
Publish Gunawarman,"Tempat, pelayanan dan makanan recomend banget👍👍",5
Publish Gunawarman,"Food were yummy, nice ambiance , love d music played, service was good",5
Publish Gunawarman,"The restaurant has some notable positives, including its attractive building, convenient location, and well-considered design. The furniture is comfortable, and the clean bathrooms add to the pleasant environment. The menu features a diverse selection of food and beverages, and the food plating is visually appealing.

However, several issues detracted from the experience. The staff in the parking lot were unprofessional and made us uncomfortable by talking while smoking. Inside, the waitress appeared distracted, providing a poor level of service and struggling to answer questions about the menu. The cleanliness of the dining area was also an issue, with food remnants under the table. The dishes themselves were underwhelming: the pumpkin in the salad was soggy, the calamari was over-battered and had an off-putting smell, the spaghetti aglio e olio was excessively oily and lacked authentic flavor, and the wagyu ribeye was bland and not properly cooked. Compared to nearby restaurants with similar offerings and prices, this establishment did not meet expectations and felt overrated.

Dear Publish Gunawarman, you need to address these issues to align your staff and food quality with the overall potential of the restaurant. Because I think the staff isnt even ready to serve customers in general.",2
Publish Gunawarman,"Place are cozy and having decent smoking room.
Very recomended",5
Publish Gunawarman,Cocok untuk bersama keluarga dan mereka mempunyai vip room,5
Publish Gunawarman,suasana tempat nya worth smaa pelayanan nya oke banget dan untuk yang mau ngopi ternyata lokasinya deket sama arabica bestt bgt❤️☺️,4
Publish Gunawarman,im so very very happy bisa mengunjungi publish gunawarman,5
Publish Gunawarman,"Good food, nice place. Portion is quite big.",5
Publish Gunawarman,"Kualitas makanan kurang, masakan salad yg kurang seger, labu yg benyek, daging steik berair dan bau, calamari lebih bisa dibilang cumi goreng tepung, tidak sesuai dengan harga makan disitu, juga waiters yg kurang paham tugasnya pelayanan kurang harus di training yg bener ni...",2
Publish Gunawarman,The food is exceptional. Love the tongseng and tiramisu. Forgot to take pic since we chatted a lot. The price is quite high but worth it,5
Publish Gunawarman,"It’s a warm and cozy atmosphere. The private room is big enough to celebrate three of our besties.
Food is absolutely excellence",5
Publish Gunawarman,great experience. thanks.,5
Publish Gunawarman,"My first visit to Publish was an absolute delight. The food was excellent, the atmosphere beautifully done, and the service warm and attentive. Everything came together perfectly to make the experience memorable.",5
Publish Gunawarman,"semua staff nya baik dan sangat membantu banget, makananya juga enak.
sofa nya juga super super comfyyyyyy.",5
Publish Gunawarman,"Semua stafnya ramah dan sangat membantu. Makanannya enak yah trus suasana ok pas saya kesana ramai tp ga bising, masih chill lah. Ditawarin photobox & dibantu foto pakai hp sendiri 😍. Yah ok lah untuk first experience nya next time bisa kesini lagi. Pas kesini lg hujan kondisinya dingin bgt 🥶❄️",5
Publish Gunawarman,I love the food and Ambience for meeting or casual chat with friends,5
Publish Gunawarman,"Ambience nya aku suka, food nya aku suka fish and chips, servernya ramah ramah. definitely i want to come back again.",5
Publish Gunawarman,"Waiters cewe nya yg antar makanan ke private room saya sangat gak professional, bawa saus steak tumpah kena tas saya, Dan ga merasa bersalah sama sekali. Saus yg tumpah juga gak di ganti malah di taruh aja di meja dan bekas tumpahan saus di meja tidak di bersihkan sama sekali. Bahkan sampe selesai makan dan keluar waiters cewe itu tidak kembali dan minta maaf. Saat serve wine jg cara penuangan nya kurang baik. Client saya pun sampai ingatkan berkali2 soal cara penuangan nya, disayangkan sekali padahal tempatnya cukup bagus dan makanan cukup oke.",1
Publish Gunawarman,"Cozy place for dining with your fam or you just couple, great food, good service and have a lot of spot to take best picture for your socmed . . .",5
Publish Gunawarman,"Tempat nya bangus banget,,
Service nya juga keren..",5
Publish Gunawarman,"Beautiful place, super friendly staff, and every dish was delicious! Definitely coming back 💯✨",5
Publish Gunawarman,"Tempatnya oke, makanannya juga enak. Servicenya bagus bgt, terutama Security nya a.n Nir. Nanda, ramah sekali dan sangat membantu 👏🏻",5
Publish Gunawarman,"This place is highly recommended for events, with its strategic location and comfortable atmosphere. The food is delicious!",5
Publish Gunawarman,"tempatnya bagus, banyak spot untuk foto foto.
minuman dan makanannya unik dan enak semua, parkiran juga cukup dan tersedia Valet..",5
Publish Gunawarman,Service very friendly.. resto nyaman like homey.. makanan nya juga enak2.. tiramisu nya the best 👍🏻,5
Publish Gunawarman,"Aku suka suasana cafenya, burata & pepperoni pizzanya enak banget, fish and chips juga porsinya mantap, staff semua baik, the best lah",5
Publish Gunawarman,Harga tidak bohong. Koleksi winenya mantaf.,5
Publish Gunawarman,"Place was cozy and fancy, great service, food also tastes good. Minus point their photo booth not working we ended up waiting a bit long.",5
Publish Gunawarman,"I would call this: A Delightful New Dining Experience

I recently had the pleasure of dining at a newly opened restaurant in Gunawarman that has quickly become one of my favorite spots in town. From the moment I walked in, the ambience set the stage for a truly memorable experience. The decor is modern yet warm, creating an inviting atmosphere that makes you want to settle in and enjoy every moment.

The attention to detail extends beyond just the decor. The cutlery and glassware were of exceptional quality, adding a touch of elegance to the dining experience. It's clear that the restaurant has put thought into every aspect of the customer experience, making it a cut above the rest.

The menu offers a variety of delicious options, and everything we tried was simply outstanding. We started with the honey-baked pumpkin salad, which was both refreshing and flavorful—truly a delightful combination. The calamari was perfectly crunchy, providing a satisfying bite with every piece.

For the mains, we were blown away by the wagyu tenderloin. It was incredibly tender, practically melting in your mouth with each bite. The cabonara pizza was another highlight—light yet rich, with thick, melting cheese that was just irresistible. The seafood spaghetti aglio olio was the star of the show, perfectly cooked with just the right balance of flavors, making it the champ of the lovely afternoon.

The service was equally impressive—attentive, excellent, and highly knowledgeable. The staff were not only kind but also knew the menu inside and out, providing thoughtful recommendations and ensuring that every detail was taken care of throughout our meal.

To top it all off, the restaurant serves excellent coffee. We tried both the Americano and the latte, and both were perfectly brewed, rounding out the meal on a high note.

Despite the high quality of the food, service, and overall experience, the prices were surprisingly reasonable. It's rare to find such an exceptional dining experience without breaking the bank, but this restaurant manages to deliver on all fronts.

Overall, this new restaurant offers a top-notch dining experience. i highly recommend it for anyone looking to enjoy a fantastic meal in a wonderful setting.",5
Publish Gunawarman,good food & nice ambiance❤️ tapi mba hostess agak jutek yaa🫣 but overall okeee sihh,5
Publish Gunawarman,Very intimate & quiest. I loved it!,5
Publish Gunawarman,"tempat ya ok..cuma tukang valet paking aja...kurang menghargai orang,ada slot palkir saya ga boleh palkir,padahal klo bilang buat vale,bayar berapa juga saya bayar,,,,tgl 14 08 2025 jam 16.00 lebih",2
Publish Gunawarman,"Tempat lunch hits baru di Jakarta Selatan dengan interiornya yang cantik dan homey. Pilihan menu lunchnya varitatif, tiramisunya enak sekali🫶🏻Staffnya juga sangat ramah dan pelayanannya cepat.",5
Publish Gunawarman,Good,3
Publish Gunawarman,"its my first time here, trying their pork fried rice ! love the ambience, the service is also good",5
Publish Gunawarman,"Pengalaman dinner berkesan di Publish Dharmawangsa, makanan enak suasana nyaman.. pelayanan terbaik dan informatif..",5
Publish Gunawarman,"Food are very good 4,5 out of 5
Service Very Good 4 out of 5
Atmosphere ok 4 out of 5",5
Publish Gunawarman,"The food was nice, the service was good, and the smoking area was spacious, bright, and odor-free. Will come back again.",4
Publish Gunawarman,"Great place, great tastes, superb moment with your precious",5
Publish Gunawarman,good service.. the waiterss so helpfull.. i order pasta al ragu and the taste so so soooo good.. perfect place for catch up with ur gurrrrl,5
Publish Gunawarman,"Crispy pork xo fried rice tiramisu worth it to try ⭐️⭐️⭐️⭐️⭐️
Truffle mushroom casarecce & minuman kopinya biasa aja.
lumayan pricey 🤏🏻
ambiance ✅",4
Publish Gunawarman,"Wagyu katsu sando - wagyu was a bit overcook; fries are too crispy
Tongseng - spices in the soup was not strong enough
Molten cake - taste of the sorbet is not strong enough",4
